"","Kernel","Cox"
"bias","0.026","0.023"
"MSE","0.019","0.006"
"SE","0.109","0.064"
"RB","5.292","4.615"
"ABSE","0.122","0.065"
"ACI.coverage","95.400","88.714"
"EMP.IQR","0.126","0.085"
"Boot.IQR","0.146","0.087"
