"","Kernel","Cox"
"bias","-0.001","-0.004"
"MSE","0.005","0.004"
"SE","0.064","0.038"
"RB","-0.286","-0.784"
"ABSE","0.074","0.038"
"ACI.coverage","95.945","73.965"
"EMP.IQR","0.080","0.049"
"Boot.IQR","0.090","0.052"
