"","Kernel","Cox"
"bias","-0.269","0.013"
"MSE","0.163","0.006"
"SE","0.297","0.020"
"RB","-53.879","2.623"
"ABSE","0.450","0.024"
"ACI.coverage","94.257","59.467"
"EMP.IQR","0.395","0.028"
"Boot.IQR","0.344","0.032"
