"","Kernel","Cox"
"bias","-0.030","-0.032"
"MSE","0.015","0.013"
"SE","0.104","0.065"
"RB","-5.906","-6.423"
"ABSE","0.111","0.066"
"ACI.coverage","92.894","74.155"
"EMP.IQR","0.132","0.084"
"Boot.IQR","0.137","0.088"
