"parameter","value"
"n","5000"
"tau","0.7"
"theta","4.66666666666667"
"beta.x","-0.693147180559945"
"lamdas","0.8"
"beta.a","-0.693147180559945"
"beta.ax","-0.693147180559945"
"ad.c","10"
"cen.per","0.4959158"
"path.results","/a/home/cc/stud_math/axelrod1/conditional_hazard_of_Cox/results/tau_0.7_beta.x_0.5_cp_50_n_5000"
"n.simulate","1000"
"R","300"
"parallel","yes"
"ncpus","10"
"kern","e"
"end.time","10"
"min.time","0"
"b.cor","b"
"n.est.grid","51"
"emirical.min.time","0.000273425679937188"
