"","Kernel","Cox"
"bias","0.110","0.097"
"MSE","0.029","0.014"
"SE","0.098","0.037"
"RB","22.039","19.463"
"ABSE","0.106","0.050"
"ACI.coverage","77.859","52.747"
"EMP.IQR","0.118","0.052"
"Boot.IQR","0.133","0.068"
