"theta","tau"
0.583,0.165763939658168
0.584,0.165935038417664
0.585,0.16610592229323
0.586,0.16627659174381
0.587,0.166447047226926
0.588,0.166617289198677
0.589,0.16678731811375
0.59,0.166957134425423
0.591,0.167126738585573
0.592,0.167296131044681
0.593,0.167465312251834
0.594,0.167634282654739
0.595,0.167803042699721
0.596,0.167971592831732
0.597,0.168139933494354
0.598,0.168308065129811
0.599,0.168475988178967
0.6,0.168643703081335
0.601,0.168811210275085
0.602,0.168978510197044
0.603,0.169145603282706
0.604,0.169312489966233
0.605,0.169479170680468
0.606,0.16964564585693
0.607,0.169811915925829
0.608,0.169977981316066
0.609,0.170143842455238
0.61,0.170309499769647
0.611,0.170474953684302
0.612,0.170640204622924
0.613,0.170805253007955
0.614,0.170970099260558
0.615,0.171134743800626
0.616,0.171299187046786
0.617,0.171463429416404
0.618,0.171627471325587
0.619,0.171791313189197
0.62,0.171954955420844
0.621,0.1721183984329
0.622,0.172281642636501
0.623,0.17244468844155
0.624,0.172607536256726
0.625,0.172770186489484
0.626,0.172932639546067
0.627,0.1730948958315
0.628,0.173256955749607
0.629,0.173418819703007
0.63,0.173580488093121
0.631,0.17374196132018
0.632,0.173903239783226
0.633,0.174064323880116
0.634,0.174225214007532
0.635,0.17438591056098
0.636,0.174546413934795
0.637,0.174706724522151
0.638,0.174866842715062
0.639,0.175026768904382
0.64,0.175186503479819
0.641,0.17534604682993
0.642,0.175505399342135
0.643,0.175664561402713
0.644,0.17582353339681
0.645,0.175982315708446
0.646,0.176140908720513
0.647,0.176299312814787
0.648,0.176457528371925
0.649,0.176615555771475
0.65,0.176773395391878
0.651,0.17693104761047
0.652,0.177088512803493
0.653,0.177245791346091
0.654,0.177402883612319
0.655,0.177559789975149
0.656,0.177716510806468
0.657,0.177873046477089
0.658,0.178029397356748
0.659,0.178185563814116
0.66,0.178341546216796
0.661,0.178497344931333
0.662,0.178652960323212
0.663,0.178808392756868
0.664,0.178963642595686
0.665,0.179118710202007
0.666,0.179273595937131
0.667,0.179428300161321
0.668,0.179582823233809
0.669,0.179737165512795
0.67,0.179891327355457
0.671,0.180045309117951
0.672,0.180199111155416
0.673,0.180352733821976
0.674,0.180506177470749
0.675,0.180659442453844
0.676,0.18081252912237
0.677,0.180965437826439
0.678,0.181118168915166
0.679,0.181270722736678
0.68,0.181423099638113
0.681,0.181575299965628
0.682,0.1817273240644
0.683,0.181879172278629
0.684,0.182030844951544
0.685,0.182182342425407
0.686,0.182333665041513
0.687,0.182484813140197
0.688,0.182635787060837
0.689,0.182786587141854
0.69,0.182937213720723
0.691,0.183087667133969
0.692,0.183237947717175
0.693,0.183388055804985
0.694,0.183537991731102
0.695,0.183687755828303
0.696,0.18383734842843
0.697,0.183986769862403
0.698,0.184136020460216
0.699,0.184285100550947
0.7,0.184434010462756
0.701,0.184582750522891
0.702,0.184731321057693
0.703,0.184879722392594
0.704,0.185027954852127
0.705,0.185176018759925
0.706,0.185323914438723
0.707,0.185471642210367
0.708,0.185619202395811
0.709,0.185766595315127
0.71,0.185913821287499
0.711,0.186060880631237
0.712,0.186207773663771
0.713,0.18635450070166
0.714,0.186501062060591
0.715,0.186647458055388
0.716,0.186793689000009
0.717,0.186939755207551
0.718,0.187085656990257
0.719,0.187231394659511
0.72,0.187376968525852
0.721,0.187522378898965
0.722,0.187667626087695
0.723,0.187812710400042
0.724,0.18795763214317
0.725,0.188102391623405
0.726,0.18824698914624
0.727,0.188391425016341
0.728,0.188535699537546
0.729,0.188679813012867
0.73,0.188823765744498
0.731,0.188967558033814
0.732,0.189111190181376
0.733,0.189254662486932
0.734,0.189397975249421
0.735,0.189541128766977
0.736,0.189684123336928
0.737,0.189826959255805
0.738,0.189969636819339
0.739,0.190112156322466
0.74,0.190254518059333
0.741,0.190396722323293
0.742,0.19053876940692
0.743,0.190680659601995
0.744,0.190822393199528
0.745,0.190963970489743
0.746,0.191105391762093
0.747,0.191246657305259
0.748,0.19138776740715
0.749,0.191528722354909
0.75,0.191669522434914
0.751,0.191810167932784
0.752,0.191950659133375
0.753,0.19209099632079
0.754,0.192231179778376
0.755,0.192371209788731
0.756,0.192511086633704
0.757,0.192650810594398
0.758,0.192790381951173
0.759,0.192929800983649
0.76,0.193069067970707
0.761,0.193208183190494
0.762,0.193347146920422
0.763,0.193485959437177
0.764,0.193624621016713
0.765,0.19376313193426
0.766,0.193901492464327
0.767,0.194039702880702
0.768,0.194177763456455
0.769,0.19431567446394
0.77,0.194453436174802
0.771,0.19459104885997
0.772,0.194728512789672
0.773,0.194865828233425
0.774,0.195002995460046
0.775,0.195140014737651
0.776,0.19527688633366
0.777,0.195413610514792
0.778,0.19555018754708
0.779,0.19568661769586
0.78,0.195822901225783
0.781,0.195959038400813
0.782,0.196095029484229
0.783,0.196230874738632
0.784,0.196366574425941
0.785,0.196502128807399
0.786,0.196637538143574
0.787,0.196772802694363
0.788,0.196907922718993
0.789,0.197042898476024
0.79,0.197177730223348
0.791,0.197312418218197
0.792,0.197446962717141
0.793,0.197581363976092
0.794,0.197715622250306
0.795,0.197849737794383
0.796,0.197983710862273
0.797,0.198117541707276
0.798,0.198251230582044
0.799,0.198384777738584
0.8,0.198518183428262
0.801,0.1986514479018
0.802,0.198784571409282
0.803,0.198917554200156
0.804,0.199050396523237
0.805,0.199183098626705
0.806,0.19931566075811
0.807,0.199448083164377
0.808,0.199580366091802
0.809,0.199712509786058
0.81,0.199844514492196
0.811,0.199976380454648
0.812,0.200108107917228
0.813,0.200239697123134
0.814,0.200371148314952
0.815,0.200502461734653
0.816,0.200633637623604
0.817,0.200764676222559
0.818,0.200895577771671
0.819,0.201026342510486
0.82,0.201156970677951
0.821,0.201287462512415
0.822,0.201417818251625
0.823,0.201548038132736
0.824,0.201678122392309
0.825,0.201808071266313
0.826,0.201937884990127
0.827,0.202067563798545
0.828,0.202197107925772
0.829,0.202326517605431
0.83,0.202455793070564
0.831,0.20258493455363
0.832,0.202713942286513
0.833,0.202842816500521
0.834,0.202971557426385
0.835,0.203100165294267
0.836,0.203228640333756
0.837,0.203356982773874
0.838,0.203485192843075
0.839,0.20361327076925
0.84,0.203741216779724
0.841,0.203869031101265
0.842,0.203996713960077
0.843,0.204124265581811
0.844,0.204251686191557
0.845,0.204378976013857
0.846,0.204506135272697
0.847,0.204633164191513
0.848,0.204760062993193
0.849,0.20488683190008
0.85,0.205013471133968
0.851,0.205139980916112
0.852,0.205266361467223
0.853,0.205392613007472
0.854,0.205518735756495
0.855,0.205644729933388
0.856,0.205770595756714
0.857,0.205896333444504
0.858,0.206021943214257
0.859,0.206147425282943
0.86,0.206272779867004
0.861,0.206398007182356
0.862,0.206523107444391
0.863,0.206648080867979
0.864,0.206772927667467
0.865,0.206897648056685
0.866,0.207022242248944
0.867,0.207146710457039
0.868,0.207271052893251
0.869,0.207395269769349
0.87,0.20751936129659
0.871,0.207643327685722
0.872,0.207767169146985
0.873,0.207890885890113
0.874,0.208014478124334
0.875,0.208137946058376
0.876,0.208261289900463
0.877,0.208384509858321
0.878,0.208507606139175
0.879,0.208630578949757
0.88,0.208753428496301
0.881,0.20887615498455
0.882,0.208998758619751
0.883,0.209121239606666
0.884,0.209243598149564
0.885,0.209365834452228
0.886,0.209487948717956
0.887,0.20960994114956
0.888,0.20973181194937
0.889,0.209853561319236
0.89,0.209975189460527
0.891,0.210096696574134
0.892,0.21021808286047
0.893,0.210339348519476
0.894,0.210460493750617
0.895,0.210581518752885
0.896,0.210702423724803
0.897,0.210823208864423
0.898,0.210943874369332
0.899,0.211064420436646
0.9,0.211184847263021
0.901,0.211305155044646
0.902,0.211425343977249
0.903,0.211545414256098
0.904,0.211665366076001
0.905,0.211785199631308
0.906,0.211904915115913
0.907,0.212024512723256
0.908,0.212143992646323
0.909,0.212263355077645
0.91,0.212382600209307
0.911,0.21250172823294
0.912,0.212620739339732
0.913,0.212739633720419
0.914,0.212858411565297
0.915,0.212977073064213
0.916,0.213095618406576
0.917,0.213214047781351
0.918,0.213332361377064
0.919,0.213450559381803
0.92,0.213568641983219
0.921,0.213686609368526
0.922,0.213804461724505
0.923,0.213922199237504
0.924,0.214039822093437
0.925,0.214157330477789
0.926,0.214274724575618
0.927,0.214392004571549
0.928,0.214509170649787
0.929,0.214626222994105
0.93,0.214743161787858
0.931,0.214859987213974
0.932,0.214976699454962
0.933,0.215093298692909
0.934,0.215209785109487
0.935,0.215326158885946
0.936,0.215442420203121
0.937,0.215558569241433
0.938,0.215674606180889
0.939,0.215790531201084
0.94,0.215906344481199
0.941,0.216022046200008
0.942,0.216137636535874
0.943,0.216253115666755
0.944,0.2163684837702
0.945,0.216483741023353
0.946,0.216598887602957
0.947,0.216713923685349
0.948,0.216828849446465
0.949,0.216943665061844
0.95,0.217058370706621
0.951,0.217172966555536
0.952,0.217287452782932
0.953,0.217401829562756
0.954,0.217516097068561
0.955,0.217630255473507
0.956,0.21774430495036
0.957,0.217858245671499
0.958,0.21797207780891
0.959,0.218085801534192
0.96,0.218199417018555
0.961,0.218312924432826
0.962,0.218426323947444
0.963,0.218539615732464
0.964,0.218652799957562
0.965,0.218765876792026
0.966,0.21887884640477
0.967,0.218991708964325
0.968,0.219104464638843
0.969,0.219217113596102
0.97,0.219329656003501
0.971,0.219442092028065
0.972,0.219554421836447
0.973,0.219666645594925
0.974,0.219778763469405
0.975,0.219890775625424
0.976,0.22000268222815
0.977,0.22011448344238
0.978,0.220226179432547
0.979,0.220337770362715
0.98,0.220449256396584
0.981,0.22056063769749
0.982,0.220671914428406
0.983,0.220783086751943
0.984,0.220894154830351
0.985,0.22100511882552
0.986,0.221115978898981
0.987,0.221226735211909
0.988,0.221337387925119
0.989,0.221447937199074
0.99,0.22155838319388
0.991,0.221668726069289
0.992,0.221778965984703
0.993,0.221889103099169
0.994,0.221999137571387
0.995,0.222109069559706
0.996,0.222218899222124
0.997,0.222328626716296
0.998,0.222438252199528
0.999,0.222547775828779
1,0.222657197760668
1.001,0.222766518151466
1.002,0.222875737157103
1.003,0.222984854933169
1.004,0.223093871634911
1.005,0.223202787417238
1.006,0.22331160243472
1.007,0.22342031684159
1.008,0.223528930791743
1.009,0.223637444438739
1.01,0.223745857935803
1.011,0.223854171435828
1.012,0.223962385091371
1.013,0.22407049905466
1.014,0.224178513477591
1.015,0.224286428511729
1.016,0.224394244308312
1.017,0.224501961018248
1.018,0.224609578792119
1.019,0.224717097780182
1.02,0.224824518132365
1.021,0.224931839998274
1.022,0.225039063527193
1.023,0.225146188868081
1.024,0.225253216169576
1.025,0.225360145579995
1.026,0.225466977247338
1.027,0.225573711319282
1.028,0.225680347943188
1.029,0.2257868872661
1.03,0.225893329434745
1.031,0.225999674595537
1.032,0.226105922894573
1.033,0.226212074477637
1.034,0.226318129490201
1.035,0.226424088077425
1.036,0.226529950384158
1.037,0.22663571655494
1.038,0.226741386734
1.039,0.226846961065259
1.04,0.226952439692333
1.041,0.227057822758529
1.042,0.227163110406848
1.043,0.22726830277999
1.044,0.227373400020345
1.045,0.227478402270005
1.046,0.227583309670758
1.047,0.22768812236409
1.048,0.227792840491187
1.049,0.227897464192935
1.05,0.228001993609921
1.051,0.228106428882434
1.052,0.228210770150466
1.053,0.228315017553712
1.054,0.228419171231573
1.055,0.228523231323153
1.056,0.228627197967264
1.057,0.228731071302423
1.058,0.228834851466856
1.059,0.228938538598496
1.06,0.229042132834988
1.061,0.229145634313684
1.062,0.229249043171649
1.063,0.229352359545659
1.064,0.229455583572202
1.065,0.229558715387481
1.066,0.229661755127409
1.067,0.229764702927619
1.068,0.229867558923457
1.069,0.229970323249985
1.07,0.230072996041982
1.071,0.230175577433948
1.072,0.230278067560098
1.073,0.230380466554369
1.074,0.230482774550416
1.075,0.230584991681618
1.076,0.230687118081073
1.077,0.230789153881604
1.078,0.230891099215755
1.079,0.230992954215795
1.08,0.23109471901372
1.081,0.231196393741248
1.082,0.231297978529825
1.083,0.231399473510625
1.084,0.231500878814549
1.085,0.231602194572225
1.086,0.231703420914014
1.087,0.231804557970003
1.088,0.231905605870012
1.089,0.232006564743592
1.09,0.232107434720028
1.091,0.232208215928335
1.092,0.232308908497262
1.093,0.232409512555296
1.094,0.232510028230655
1.095,0.232610455651294
1.096,0.232710794944906
1.097,0.23281104623892
1.098,0.232911209660502
1.099,0.23301128533656
1.1,0.233111273393737
1.101,0.233211173958421
1.102,0.233310987156735
1.103,0.233410713114549
1.104,0.233510351957472
1.105,0.233609903810856
1.106,0.233709368799799
1.107,0.233808747049139
1.108,0.233908038683464
1.109,0.234007243827103
1.11,0.234106362604134
1.111,0.234205395138382
1.112,0.234304341553418
1.113,0.234403201972562
1.114,0.234502005717531
1.115,0.234600694462454
1.116,0.234699297580078
1.117,0.234797815192722
1.118,0.234896247422458
1.119,0.23499459439111
1.12,0.235092856220254
1.121,0.235191033031222
1.122,0.235289124945097
1.123,0.235387132082718
1.124,0.235485054564683
1.125,0.235582892511341
1.126,0.235680646042802
1.127,0.23577831527893
1.128,0.235875900339351
1.129,0.235973401343447
1.13,0.23607081841036
1.131,0.236168151658994
1.132,0.236265401208009
1.133,0.236362567175832
1.134,0.236459649680649
1.135,0.236556648840409
1.136,0.236653564772824
1.137,0.23675039759537
1.138,0.236847147425287
1.139,0.236943814379583
1.14,0.237040398575027
1.141,0.237136900128157
1.142,0.237233319155279
1.143,0.237329655772464
1.144,0.237425910095552
1.145,0.237522082240153
1.146,0.237618172321646
1.147,0.237714180455178
1.148,0.237810106755669
1.149,0.237905951337808
1.15,0.238001714316059
1.151,0.238097395804653
1.152,0.238192995917601
1.153,0.238288514768681
