"parameter","value"
"n","50000"
"tau","0.7"
"theta","4.66666666666667"
"beta.x","2.30258509299405"
"lamdas","6e-04"
"beta.a","-0.693147180559945"
"beta.ax","-0.693147180559945"
"ad.c","10"
"cen.per","0.97265574"
"path.results","/a/home/cc/stud_math/axelrod1/conditional_hazard_of_Cox/results/tau_0.7minus_beta.x_0.1_cp_97_n_50000"
"n.simulate","1000"
"kern","e"
"end.time","10"
"min.time","0"
"b.cor","b"
"n.est.grid","51"
"emirical.min.time","0.00267174332486741"
