"","Kernel","Cox"
"bias","-0.031","-0.038"
"MSE","0.006","0.010"
"SE","0.045","0.020"
"RB","-6.212","-7.610"
"ABSE","0.045","0.020"
"ACI.coverage","86.757","22.353"
"EMP.IQR","0.052","0.025"
"Boot.IQR","0.056","0.027"
