"","Kernel","Cox"
"bias","0.143","0.124"
"MSE","0.056","0.022"
"SE","0.151","0.075"
"RB","28.644","24.822"
"ABSE","0.165","0.081"
"ACI.coverage","80.461","59.951"
"EMP.IQR","0.176","0.100"
"Boot.IQR","0.195","0.108"
