"","Kernel","Cox"
"bias","0.009","0.009"
"MSE","0.009","0.009"
"SE","0.087","0.055"
"RB","1.828","1.815"
"ABSE","0.096","0.057"
"ACI.coverage","95.794","74.786"
"EMP.IQR","0.112","0.073"
"Boot.IQR","0.120","0.076"
