"","Kernel","Cox"
"bias","0.128","0.117"
"MSE","0.022","0.015"
"SE","0.064","0.030"
"RB","25.674","23.347"
"ABSE","0.072","0.031"
"ACI.coverage","36.931","3.547"
"EMP.IQR","0.080","0.041"
"Boot.IQR","0.089","0.042"
