"","Kernel","Cox"
"bias","-0.114","-0.101"
"MSE","0.036","0.024"
"SE","0.127","0.078"
"RB","-22.817","-20.288"
"ABSE","0.158","0.078"
"ACI.coverage","83.108","66.937"
"EMP.IQR","0.150","0.095"
"Boot.IQR","0.169","0.103"
