"","Kernel","Cox"
"bias","0.146","0.130"
"MSE","0.038","0.020"
"SE","0.098","0.039"
"RB","29.201","25.964"
"ABSE","0.107","0.051"
"ACI.coverage","59.245","26.886"
"EMP.IQR","0.118","0.052"
"Boot.IQR","0.133","0.069"
