"","Kernel","Cox"
"bias","0.099","0.074"
"MSE","0.709","0.012"
"SE","0.279","0.082"
"RB","19.777","14.853"
"ABSE","0.186","0.080"
"ACI.coverage","90.047","84.371"
"EMP.IQR","0.178","0.105"
"Boot.IQR","0.203","0.105"
