"","Kernel","Cox"
"bias","0.154","0.129"
"MSE","0.062","0.021"
"SE","0.141","0.064"
"RB","30.714","25.731"
"ABSE","0.159","0.072"
"ACI.coverage","74.484","48.178"
"EMP.IQR","0.160","0.089"
"Boot.IQR","0.187","0.096"
