"","Kernel","Cox"
"bias","0.007","0.005"
"MSE","0.001","0.006"
"SE","0.031","0.017"
"RB","1.480","0.907"
"ABSE","0.035","0.018"
"ACI.coverage","95.200","31.224"
"EMP.IQR","0.040","0.022"
"Boot.IQR","0.043","0.024"
