"","Kernel","Cox"
"bias","0.001","0.001"
"MSE","0.002","0.002"
"SE","0.036","0.019"
"RB","0.120","0.154"
"ABSE","0.042","0.020"
"ACI.coverage","96.516","60.600"
"EMP.IQR","0.046","0.026"
"Boot.IQR","0.052","0.027"
