"","Kernel","Cox"
"bias","0.087","0.084"
"MSE","0.284","0.014"
"SE","0.172","0.061"
"RB","17.399","16.779"
"ABSE","0.124","0.070"
"ACI.coverage","90.490","71.184"
"EMP.IQR","0.135","0.082"
"Boot.IQR","0.154","0.095"
