"","Kernel","Cox"
"bias","0.078","0.078"
"MSE","0.010","0.010"
"SE","0.042","0.018"
"RB","15.628","15.544"
"ABSE","0.045","0.022"
"ACI.coverage","45.635","35.194"
"EMP.IQR","0.049","0.025"
"Boot.IQR","0.056","0.029"
