"","Kernel","Cox"
"bias","-0.006","-0.004"
"MSE","0.015","0.010"
"SE","0.089","0.054"
"RB","-1.208","-0.852"
"ABSE","0.093","0.055"
"ACI.coverage","95.798","70.933"
"EMP.IQR","0.105","0.072"
"Boot.IQR","0.115","0.073"
